"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 15:10:17 CST 2019","Mon Nov 18 15:10:17 CST 2019","1","Case","test_case","","","","test_print",""
"failed","Mon Nov 18 15:13:45 CST 2019","Mon Nov 18 15:13:45 CST 2019","1","Case","test_num","TestNum","","","test_div",""
"passed","Mon Nov 18 15:14:08 CST 2019","Mon Nov 18 15:14:18 CST 2019","10986","Case","test_room","TestRoom","","","test_create_room[艾拉-45-艾拉-45]","成功创建房间"
"broken","Mon Nov 18 15:13:12 CST 2019","Mon Nov 18 15:13:21 CST 2019","8155","Case","test_home","TestHome","","","test_modify_title_fail",""
"broken","Mon Nov 18 15:15:22 CST 2019","Mon Nov 18 15:15:24 CST 2019","1520","Case","test_room","TestRoom","","","test_delete_device[0-device_list0]",""
"passed","Mon Nov 18 15:13:54 CST 2019","Mon Nov 18 15:14:06 CST 2019","12467","Case","test_room","TestRoom","","","test_create_room[Ayla45-Ayla45]","成功创建房间"
"broken","Mon Nov 18 15:11:00 CST 2019","Mon Nov 18 15:11:34 CST 2019","34127","Case","test_home","TestHome","","","test_modify_title[Ayla_45-Ayla_45]",""
"broken","Mon Nov 18 15:12:11 CST 2019","Mon Nov 18 15:12:50 CST 2019","38663","Case","test_home","TestHome","","","test_modify_title[艾拉-45-艾拉-45]",""
"passed","Mon Nov 18 15:16:12 CST 2019","Mon Nov 18 15:16:23 CST 2019","10797","Case","test_room","TestRoom","","","test_delete_device[1-device_list2]",""
"failed","Mon Nov 18 15:10:45 CST 2019","Mon Nov 18 15:10:58 CST 2019","13497","Case","test_home","TestHome","","","test_modify_title[Ayla 45-Ayla 45]",""
"passed","Mon Nov 18 15:17:16 CST 2019","Mon Nov 18 15:17:16 CST 2019","0","Case","test_work","TestNum","","","test_add",""
"passed","Mon Nov 18 15:15:14 CST 2019","Mon Nov 18 15:15:21 CST 2019","7388","Case","test_room","TestRoom","","","test_add_device[1-device_list2]",""
"passed","Mon Nov 18 15:11:57 CST 2019","Mon Nov 18 15:12:10 CST 2019","13242","Case","test_home","TestHome","","","test_modify_title[Ayla45Ayla45Ayla45123-Ayla45Ayla45Ayla4512]",""
"passed","Mon Nov 18 15:14:20 CST 2019","Mon Nov 18 15:14:46 CST 2019","26253","Case","test_room","TestRoom","","","test_add_device[0-device_list0]",""
"failed","Mon Nov 18 15:17:16 CST 2019","Mon Nov 18 15:17:16 CST 2019","0","Case","test_work","TestNum","","","test_div",""
"passed","Mon Nov 18 15:16:24 CST 2019","Mon Nov 18 15:16:50 CST 2019","25650","Case","test_room","TestRoom","","","test_modify_name",""
"passed","Mon Nov 18 15:13:45 CST 2019","Mon Nov 18 15:13:45 CST 2019","0","Case","test_num","TestNum","","","test_add",""
"passed","Mon Nov 18 15:17:08 CST 2019","Mon Nov 18 15:17:16 CST 2019","8005","Case","test_smart","TestSmart","","","test_smart",""
"passed","Mon Nov 18 15:16:51 CST 2019","Mon Nov 18 15:16:58 CST 2019","6547","Case","test_room","TestRoom","","","test_delete_room[1]",""
"passed","Mon Nov 18 15:16:59 CST 2019","Mon Nov 18 15:17:04 CST 2019","5463","Case","test_room","TestRoom","","","test_delete_room[0]",""
"failed","Mon Nov 18 15:10:29 CST 2019","Mon Nov 18 15:10:44 CST 2019","14505","Case","test_home","TestHome","","","test_modify_title[Ayla45-Ayla45]",""
"failed","Mon Nov 18 15:17:16 CST 2019","Mon Nov 18 15:17:16 CST 2019","0","Case","test_work","TestNum","","","test_sub",""
"passed","Mon Nov 18 15:14:47 CST 2019","Mon Nov 18 15:15:13 CST 2019","25749","Case","test_room","TestRoom","","","test_add_device[1-1]",""
"passed","Mon Nov 18 15:17:16 CST 2019","Mon Nov 18 15:17:16 CST 2019","0","Case","test_work","TestNum","","","test_sum",""
"broken","Mon Nov 18 15:15:47 CST 2019","Mon Nov 18 15:15:49 CST 2019","2456","Case","test_room","TestRoom","","","test_delete_device[1-1]",""
