"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 15:46:15 CST 2019","Mon Nov 18 15:46:21 CST 2019","5462","Case","test_room","TestRoom","","","test_delete_room[1]",""
"passed","Mon Nov 18 15:45:49 CST 2019","Mon Nov 18 15:46:14 CST 2019","25526","Case","test_room","TestRoom","","","test_modify_name",""
"broken","Mon Nov 18 15:45:11 CST 2019","Mon Nov 18 15:45:13 CST 2019","2054","Case","test_room","TestRoom","","","test_delete_device[1-1]",""
"passed","Mon Nov 18 15:44:37 CST 2019","Mon Nov 18 15:44:44 CST 2019","6372","Case","test_room","TestRoom","","","test_add_device[1-device_list2]",""
"passed","Mon Nov 18 15:43:06 CST 2019","Mon Nov 18 15:43:27 CST 2019","20633","Case","test_room","TestRoom","","","test_create_room[Ayla45-Ayla45]","成功创建房间"
"passed","Mon Nov 18 15:44:07 CST 2019","Mon Nov 18 15:44:36 CST 2019","29157","Case","test_room","TestRoom","","","test_add_device[1-1]",""
"passed","Mon Nov 18 15:45:38 CST 2019","Mon Nov 18 15:45:48 CST 2019","10001","Case","test_room","TestRoom","","","test_delete_device[1-device_list2]",""
"passed","Mon Nov 18 15:43:40 CST 2019","Mon Nov 18 15:44:06 CST 2019","26355","Case","test_room","TestRoom","","","test_add_device[0-device_list0]",""
"passed","Mon Nov 18 15:43:28 CST 2019","Mon Nov 18 15:43:39 CST 2019","11005","Case","test_room","TestRoom","","","test_create_room[艾拉-45-艾拉-45]","成功创建房间"
"broken","Mon Nov 18 15:44:45 CST 2019","Mon Nov 18 15:44:47 CST 2019","2046","Case","test_room","TestRoom","","","test_delete_device[0-device_list0]",""
"passed","Mon Nov 18 15:46:22 CST 2019","Mon Nov 18 15:46:27 CST 2019","4912","Case","test_room","TestRoom","","","test_delete_room[0]",""
